week,total_orders,total_return_proxy,avg_delivery_delay,return_rate
2017-08-14,1044.0,122.0,-13.87202380952381,0.11685823754789272
2017-08-21,890.0,104.0,-13.344547563805104,0.11685393258426967
2017-08-28,1009.0,102.0,-11.488253319713994,0.10109018830525272
2017-09-04,904.0,113.0,-9.984072810011376,0.125
2017-09-11,1164.0,153.0,-9.450704225352112,0.13144329896907217
2017-09-18,994.0,139.0,-12.150627615062762,0.1398390342052314
2017-09-25,964.0,111.0,-14.65081081081081,0.11514522821576763
2017-10-02,999.0,132.0,-14.812307692307693,0.13213213213213212
2017-10-09,1070.0,144.0,-10.596116504854368,0.13457943925233645
2017-10-16,1147.0,166.0,-11.106787330316742,0.14472537053182213
2017-10-23,978.0,111.0,-11.98,0.11349693251533742
2017-10-30,942.0,141.0,-10.911111111111111,0.14968152866242038
2017-11-06,1217.0,171.0,-10.280821917808218,0.14050944946589974
2017-11-13,1313.0,203.0,-8.639396346306592,0.1546077684691546
2017-11-20,3008.0,654.0,-6.555060034305317,0.21742021276595744
2017-11-27,2098.0,431.0,-8.86021505376344,0.20543374642516682
2017-12-04,1692.0,299.0,-11.70570202329859,0.17671394799054374
2017-12-11,1401.0,222.0,-13.29407461594733,0.15845824411134904
2017-12-18,978.0,140.0,-13.963235294117647,0.14314928425357873
2017-12-25,877.0,117.0,-15.088681446907819,0.13340935005701254
2018-01-01,1383.0,201.0,-14.724832214765101,0.14533622559652928
2018-01-08,1785.0,250.0,-13.390678941311853,0.1400560224089636
2018-01-15,1750.0,285.0,-12.380281690140846,0.16285714285714287
2018-01-22,1591.0,269.0,-12.354692556634305,0.16907605279698304
2018-01-29,1598.0,244.0,-11.955156950672645,0.15269086357947434
2018-02-05,1584.0,290.0,-11.218689162881246,0.1830808080808081
2018-02-12,1640.0,321.0,-8.038871473354233,0.19573170731707318
2018-02-19,1756.0,409.0,-5.956242707117853,0.23291571753986332
2018-02-26,1903.0,541.0,-3.8674959437533802,0.2842879663688912
2018-03-05,1643.0,441.0,-5.259699624530663,0.2684114424832623
2018-03-12,1595.0,374.0,-6.384815055158987,0.23448275862068965
2018-03-19,1716.0,320.0,-7.977857570317175,0.1864801864801865
2018-03-26,1471.0,265.0,-8.194269741439554,0.18014955812372535
2018-04-02,1590.0,217.0,-10.638585209003216,0.13647798742138365
2018-04-09,1554.0,198.0,-13.5,0.1274131274131274
2018-04-16,1672.0,217.0,-14.39034819792303,0.1297846889952153
2018-04-23,1676.0,197.0,-13.412621359223301,0.1175417661097852
2018-04-30,1770.0,210.0,-13.011534025374855,0.11864406779661017
2018-05-07,1987.0,247.0,-11.019042717447247,0.12430800201308505
